,textID,text,selected_text,sentiment,oof_selected_text,jaccard_diff
6241,d0e3994fac,Got people don`t let me skip sci pratical becos skola is impt and cannot waste my parents money.  Nt fair.,cannot waste my parents money.  Nt fair.,negative, nt fair.,0.2857142857142857
6244,7e6fd5d697,Oh **** ... Placebo tix and Tori Amos both go on sale at 9am. Anticipating hot cake distribution of both.,****,negative, oh **** ...,0.3333333333333333
6267,1abc302eb4, OHHH my bad! yes him  heh heh,bad!,negative, ohhh my bad!,0.3333333333333333
6268,1b6676addf," Totally unsurprised that Dave isn`t coming back to 10. But Annalisa is wrong for it, opposite of big warm mellow Dave.",unsurprised,negative," totally unsurprised that dave isn`t coming back to 10. but annalisa is wrong for it,",0.06666666666666667
6270,95c725edb6,"Just got back in, and I`m absolutely exhausted, have to be up in 5 hours for work","I`m absolutely exhausted,",negative," exhausted,",0.3333333333333333
6276,40b7185d99,"Early Monday,great  Rainy Monday,not so great :|","Early Monday,great  Rainy Monday,not so great :|",negative,not so great,0.25
6280,b0fc9f4b10, iPhone is doing that 'not opening downloaded apps' thing and I forgot my cord at home,forgot,negative, forgot my cord at home,0.2
6284,5c39fade50,Feeling down again. Today is way too stressful.,Today is way too stressful.,negative, stressful.,0.2
6285,ffd1493f11, gah! no money..... at least not for bakugan,gah!,negative, gah! no money.....,0.3333333333333333
6296,643d07a1e6,OMG...the heater in my room has been on all day while i was at school & now it`s boiling,OMG..,negative, omg...the heater in my room has been on all day while i was at school & now it`s boiling,0.0
6302,f1f286e4b9,ugh im crying again  writing a rant about it on tumblr.,ugh im crying again  writing a rant about it on tumblr.,negative, crying,0.09090909090909091
6303,ae01b6389d, Not even better than Kapsel cha  Dy nulis notes? Spertinya gw ga ditag cuz g ada notificationnya... Huhu.,Not even better,negative, not even better than kapsel cha dy nulis notes? spertinya gw ga ditag cuz g ada notificationnya... huhu.,0.16666666666666666
6306,fe95e39fdc,"So has anyone had that yucky new throwback pepsi and mountain dew yet? If they plan on keeping it around, I will not be drinking it!","So has anyone had that yucky new throwback pepsi and mountain dew yet? If they plan on keeping it around, I will not be drinking it!",negative, yucky,0.038461538461538464
6307,c999fc1166,Ashley= getting sick... Ugh I`m losing my voice! Nooo,getting sick... Ugh I`m losing my voice!,negative, getting sick...,0.2857142857142857
6308,5189c47d63,I dont like the dentist...they make my gums hurt,they make my gums hurt,negative, hurt,0.2
6326,17d5232511,im gonna fail this test miserably in history,fail,negative, fail this test miserably,0.25
6328,5af1620dfb, THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,THIS WEBSITE GAVE ME A VIRUS!,negative, virus!,0.16666666666666666
6338,6633333a4e,but now my feet really hurt...,hurt..,negative, hurt...,0.0
6339,4d50cb6a38,"sooooo, i just dropped my phone.  don`t text or tweet me, i`m currently banging my face against a spike covered poison ivy infested wall.",dropped,negative," sooooo, i just dropped my phone. don`t text or tweet me, i`m currently banging my face against a spike covered poison ivy infested wall.",0.043478260869565216
6344,483c22f7ea," Lmao, when I was camping, the water in the shower was well water and just smelt nasty",nasty,negative, just smelt nasty,0.3333333333333333
6360,dfcead7761, I heard from  &  you`re away. I miss you too  Look forward to tweeting with you when you return.,y. I miss you too,negative, miss,0.2
6369,de6c361eb8, thats a bummer i haven`t got one yet :/ been waiting over a year  grrrrrrrrrrrrrrr,bummer,negative, thats a bummer,0.3333333333333333
6380,1b28b66cf5, your right. im so jealous i wish i had gangsterrrr pants like your grandma,im so jealous,negative, jealous,0.3333333333333333
6413,4a8e7ae63f,snotty nose  poorly chest! this is not good!,not good!,negative, poorly chest! this is not good!,0.3333333333333333
6425,c1db1f6f07,_n_booklife I heard about that too... that seems an overreaction...,overreaction..,negative, overreaction...,0.0
6468,ff61a3e751,"It`s the weekend, its sunny..... and I got another puncture!!!",puncture!!,negative, puncture!!!,0.0
6475,431ac1c6cd,_music aah i stopped getting your updates on my home page!!  saddd..im guna re-follow you ..it worked with tswift,saddd.,negative, saddd..,0.0
6476,3eaf344feb,  darn! now we have to go through the WHOLE weekend without em`,d without em`,negative, darn!,0.0
6482,485e0a802f,Ok getting the pink stripey one it`s the most subtle I`m a bit bored of the floral print! Ok?,I`m a bit bored,negative, bored,0.25
6506,dd9a08a95a,Cant sleeeeep & i miss my long hairrr,i miss my long hairrr,negative, miss,0.2
6527,35cace50bf,back at work  its too warm to be in here today!!!,its too warm,negative, too warm to be in here today!!!,0.25
6535,8ef0d09de9,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8,negative, bad,0.0625
6541,c67e8fb5f2,"im backkkk!!!!!!!! hungry as hell, havent ate today",havent ate today,negative," hungry as hell,",0.0
6542,0fc3980a25,Feel so depressed that I couldn`t save it... Thanks for nothing!,Feel so depressed that I couldn`t save it... Thanks for nothing!,negative, depressed,0.09090909090909091
6571,fadbcfa52f,_ I`m so tired I think imma go to bed,tired,negative, i`m so tired,0.3333333333333333
6574,8a5aad2a7a,I WILL CRY!!!!!!!!    I can`t believe that I lost the chat!!!,I WILL CRY!!,negative, i will cry!!!!!!!! i can`t believe that i lost,0.25
6584,4636ad66d9,"can`t wait to get his hands on his new blackberry, this one is dying on me",dying on me,negative, dying,0.3333333333333333
6586,eb01b80cfe, i know i really wanna do some more stuff im out of school in the next week so ill have a few free days a week... ill hit u up,so ill have a few free days a week... ill hit u up,negative, ill hit u up,0.36363636363636365
6587,770f50c71c,my little booboo is sick,my little booboo is sick,negative, sick,0.2
6604,258742b130,"AAAAARRRRGGGHHH! there is a huge spider in the towel pile, *cries* glad Kerbear isn`t here  sorry mum cant bring the rest in",AAAAARRRRGGGHHH!,negative, sorry,0.0
6608,d953042861, we watched that one day in the middle of playing-- it REALLY doesn`t hold up,we watched that one day in the middle of playing-- it REALLY doesn`t hold up,negative, doesn`t hold up,0.2
6622,4a2a6251ad,Guess this is a 24-48 hour maintenance.. I`m so sad I miss my friends,sad,negative, i`m so sad,0.3333333333333333
6627,e05668719a, i feel u  but its sooo close to me hard not to  but i cant so no point ugh,i feel u  but its sooo close to me hard not to  but i cant so no point ug,negative, ugh,0.0
6630,9d9f984b7d, so i feel like **** for saying HAPPY BELATED BIRFDAYY.. i`m only a month late,so i feel like **** for saying HAPPY BELATED BIRFDAYY.. i`m only a month late,negative, so i feel like ****,0.3333333333333333
6647,c8113641f4,Unfortunately these heffas decided to take an impromptu mall trip without telling me,Unfortunately these heffas decided to take an impromptu mall trip,negative, unfortunately,0.1
6661,36c2301831,Ugh worried about my math test,Ugh worried about my math test,negative, worried,0.16666666666666666
6662,2c8ebae470,on no bsg might just have made me cry,might just have made me cry,negative, cry,0.16666666666666666
6666,76ccb733b0,I fall asleep and didnt get to see the jonas brothers web cast  ... Still tierd,tierd,negative, didnt get to see the jonas brothers web cast ... still tierd,0.08333333333333333
6676,05d9f83c67,"   No, seriously you guys, I /wanted/ to kick Monday off with #starwarswithaddedpants spam.  Really","No, seriously you guys, I /wanted/ to kick Monday off wit",negative," no, seriously you guys,",0.36363636363636365
6683,27a14b89c3,"curses, firewall/proxy server restrictions!  it will have to wait until I get home",restrictions!,negative," curses, firewall/proxy server restrictions!",0.25
6695,c42588deef,"My cable signal is all messed up!!! I`m missing Ghostwhisperer  In other news I have hurt my toe and have a cold, in like hot weather!!!!",hurt,negative, messed up!!!,0.0
6705,562ff532c7,Okay I lied! I meant this time next week! That is sooo much longer!!  I miss my mommy...,lied!,negative, i miss my mommy...,0.0
6712,1126a874e3,the puppy shall loose his um... manly parts today  poor guy....,poor,negative, loose,0.0
6716,10e27a89e4,"Yep, . Sleep-fail. In another 7-8 hours, it`ll be D&D-fail.",Sleep-fail.,negative,fail.,0.0
6718,0193047902,At work... What a miserable day,What a miserable day,negative, miserable,0.25
6726,d696680046," noooooooo  i miss you sooooooo much, gaah",noooooooo  i miss you,negative, miss,0.25
6730,c465c43cfe,so **** tired. didn`t get home till 5:30. work at bjs at 12:15,tired.,negative, so **** tired.,0.3333333333333333
6740,e7e41df325,  He`s got adjusting his mate`s online shop... Zzzzzzzzzzzzzzz... Boring...,. Boring,negative, boring...,0.0
6741,f750fe4fb2,": I saw US Postal was hiring, but once I was done filling out the pre-application thingy it didn`t show me jobs open in the area.",didn`t,negative, it didn`t show me jobs open in the area.,0.1111111111111111
6745,38a876ce49, Chowder is the ****!!!!!!,****!,negative, ****!!!!!!,0.0
6769,9ac16ebcc2,"right, so richard marx`s right here waiting is really making me feel nauseatingly sad.",nauseatingly,negative, sad.,0.0
6776,30139aa906,"has tummy pains  n woke stu up for a drink in the middle of the night, I don`t remember it",pains,negative, has tummy pains,0.3333333333333333
6787,9e55909005,"YESSS, FLASH IS BEING **** TONIGHT!  It.........takes.................time...........to.........open...........a..........webpage......",FLASH IS BEING **** TONIGHT!,negative, ****,0.2
6801,164bbd99fc, I cnt get it!! its goin to ur old messages?!?  >>>> HELP?<<<<,>> HELP?,negative, i cnt get it!!,0.0
6805,831f911fd9, and guess what ! ive got 20 % ! wow its impossible,and guess what ! ive got 20 % ! wow its impossible,negative, impossible,0.09090909090909091
6807,20b1b9cc25,Willie is pouting because Grandma didn`t put any treats on my food  http://apps.facebook.com/dogbook/profile/view/6877293,didn`t put any treats on my food,negative, pouting,0.0
6833,78a714e8bb,Don`t know what the heck to do with the space of time between now and BGT    Bored.,Bore,negative, bored.,0.0
6837,9be30ea62e,Ahh I`m so confused  what can I do? I don`t wanna run away but can I really handle a real relationship? What is love anyways.. False hope!,False hope!,negative, confused,0.0
6842,a61820a07f,"Right, **** the whole Twitter silence experiment. The last four days have been murder with the inability to mouth off",**** the whole Twitter silence ex,negative, **** the whole twitter silence experiment. the last four days have been murder,0.38461538461538464
6850,9b12547533, Im goodie. I feel like we are so disconnected,disconnected,negative, i feel like we are so disconnected,0.14285714285714285
6852,e57fb2b3de,awww poor little girl on britains got talent,awww poor little girl on britains got talent,negative, poor,0.125
6860,f150c43b3d,poor bella is in the ER with her first and second ear infection since both ears are infected. Her screams were blood curdling!,screams,negative, poor,0.0
6879,0ee56267e0," ugh! I have a knee injury too, except mine is just an infected cut that hurts like hell",hurts,negative," injury too, except mine is just an infected cut that hurts like hell",0.07692307692307693
6883,ef394f3b50,is wondering y Mother Nature is making my life miserable,y Mother Nature is making my life miserable,negative, miserable,0.125
6901,151eaeb119,"I`m torn, do I get an extended warranty for my iPhone when mine runs out, or jailbreak? I`ve already got problems with battery & earpiece",I`ve already got problems with battery & earpiece,negative," i`m torn,",0.0
6908,347e43fa12,_B_ Shes bad they won`t sort her out and is in a lot of pain,bad,negative, bad they won`t sort her out and is in a lot of pain,0.07692307692307693
6919,b81723c6ee, i wish i was home in bed naked,i wish i was home in bed naked,negative, naked,0.14285714285714285
6922,23567ec4f4," Sus Ate, I was so upset, I wasn`t informed AT ALL. Turns out, they told Sarms and they expected her to tell me. Huff.","I was so upset,",negative," upset,",0.25
6923,4e655f178c,Dude my butt itches  but i cant scratch it cause ppl r here,cant scratch,negative, dude my butt itches,0.0
6939,a50c8dc573, o its feels like a hot box and no matter where i go in here it still feels like a hot box! ice cream isn`t working n e more,s like a hot box an,negative, ice cream isn`t working,0.0
6940,b299e17421,I would rather end up heart broken then have regret because i didnt take a chance,regret because i didnt take a chance,negative, regret,0.14285714285714285
6948,7b25c09b0f,": I`m sure lots of that studio equipment was collected analog stuff that can`t be bought anymore.    seriously, condolences.","y, condolence",negative, condolences.,0.0
6961,2e63787399,Was supposeddd to hang out with al but her mommy wont let her  now what to dooo? Blah. Hahaha,but her mommy wont let her  now,negative, blah.,0.0
6969,8390d4aa0d,"Fell down the stairs at dancing, sword fell on me and now my bum hurts",now my bum hurts,negative, hurts,0.25
6972,f1c242622e," oh no, sorry to hear abt Firefox crashing on you.","oh no, sorry to hear abt Firefox crashing on you.",negative, sorry,0.1
6982,9f9a9e3e3d,"i wish i was outside  thats the only thing thats gonna kill me about work all day, everyday during the summer.",thats gonna kill me,negative, kill,0.25
6991,2dbc714440," Tom , today my school played POV at the break , and I almost cryed !  your show in sao paulo is today ! I wish i could be there!",I almost cryed !,negative, cryed,0.25
7000,e9078654cc,Ugh going to town. I can never rest!  wants to go to tylers but who knows when i will get back. (exausted),(exausted),negative, ugh going to town. i can never rest!,0.0
7004,24489dcb26, that sounds foreboding...,that sounds foreboding...,negative, foreboding...,0.3333333333333333
7006,81f3ac4452,4th may officially announced as `bad luck day` ..,4th may officially announced as `bad luck day` ..,negative,bad,0.0
7010,67ec0f5817,  no room for me smh,e smh,negative, no room for me smh,0.16666666666666666
7012,6e349d4716, hahaha well why would you smack ME for that?!  hahaha THE BIG BANGGG,smack,negative, smack me for that?!,0.25
7014,6b68e34660,_flores aww i don`t! i guess that`s why it doesnt  (blackberrymessenger),i don`t!,negative, aww i don`t! i guess that`s why it doesnt,0.25
7022,0131557597,"Truck has bit the dust, don`t know if I`ll make the Mustangs game tomorrow","Truck has bit the dust, don`t know if I`ll make the Mustangs game tomorrow",negative," truck has bit the dust,",0.38461538461538464
7038,b0cb3493af,Greg Pritchard was ROBBED of a place in the final of BGT... Cry baby ****-face got through instead,****-face,negative, robbed,0.0
7048,b36798e17f,Feels very ucky today... I need more DEFENSE Vitamin Water because I don`t want to be sick no mores,I don`t want to be sick no mores,negative, feels very ucky today... i need more defense vitamin water because i don`t want to be sick,0.3333333333333333
7053,37e2053bc1,IS BORED. Can`t even tease people now,IS BORED. Can`t even tease people now,negative, is bored.,0.2857142857142857
7062,c4bc1b4ad4,is sad because his tea and oatmeal are cold,is sad because his tea and oatmeal are cold,negative, sad,0.1111111111111111
7064,600580c6b5,Nooooothing to do tonight,Nooooothing to do tonight,negative, nooooothing,0.25
7075,5a64f84f9c,My english is broken,broken,negative, my english is broken,0.25
7095,b39f195487,Roasting to most probably death,Roasting,negative, death,0.0
7106,7ded28159b,wished didnt spend money last night,didnt spend,negative, wished didnt spend money last night,0.3333333333333333
7107,64d7ee6da7, yo wake your **** up  and go to work  go get that paper  u aint sick dont lie,ick dont,negative, sick,0.0
7112,e2ab8995d1,Nooo...i forgot my calculator for physics   oh well class is allmost over :3,i forgot my calculator for physics,negative, forgot,0.16666666666666666
7114,e409c6bca9,Shower head broke while i was in the shower and shot straight @ my head.may get a welt later on from it,shot straight,negative, broke,0.0
7147,81a218143d,  _Vincent  @ i missed the party!!!!  i bought wine and everything!!!,@ i missed the party!!!!  i bought wine and everything!,negative, missed,0.1111111111111111
7149,86adda3a27,"  I`m soo sad. It`s just on the edges of the pages, but it`s not gonna come out. *cries*",o sad,negative, i`m soo sad.,0.0
7163,242fabeab4, whats wrong babe?  x,wrong,negative, whats wrong babe?,0.3333333333333333
7168,83d01e9b63,So effing tired  http://bit.ly/e0ZFz,So effing tired,negative, tired,0.3333333333333333
7171,b4f2077ad6,Want to get a Blackberry but can`t afford it  . Just watching the telly and relaxing. Hard sesion tomorrow.,Want to get a Blackberry but can`t afford it  . Just watching the telly and relaxing. Hard sesion tomorrow.,negative, hard sesion tomorrow.,0.15789473684210525
7199,2bfc97713f,i miss you tooooo  you arent too far! *A*,miss,negative, i miss you tooooo,0.25
7206,e19a478d4e,massive headache. argh,massive headache. argh,negative, headache.,0.3333333333333333
7232,44805fe3d4,"17 things to do, the last thing on my mind is cleaning up everyone`s cake mess",last thing on my mind,negative, mess,0.0
7239,537f65a521,"is missing her best friend  commme back kayla, going out in a little while",is missing her best friend,negative, missing,0.2
7246,529809d523,It should be illegal for me to date,It should be illegal for me to date,negative, illegal,0.125
7248,deebe0df72,I scratched my iPod,I scratched my iPod,negative, scratched,0.25
7249,4c071353c4,omgeee that hurt like helll. finally got it back in. can`t close it put the ball back in,hurt like helll.,negative, hurt,0.3333333333333333
7253,357c98b5bc,Goddamn bloody stress and **** sending my body haywire,****,negative, goddamn bloody stress,0.0
7258,64b94d097c,Now i cant find him  Gonna be a sleepless night tonight,cant find him,negative, sleepless,0.0
7260,c3df70efbc,"_cm  Didn`t drink enough for a hangover, just tired and over worked",just tired and over worked,negative, tired,0.2
7262,dc3bddad43,I miss laughing till my stomache hurts,miss,negative, hurts,0.0
7266,a0577362f6,"it would sicken most, the number of ways I am able to tweet","it would sicken most,",negative, sicken,0.25
7269,388ad42b4e," yeah that was me yesterday after i found out the house i want is sold, my bank effed me over and then the car accident",car accident,negative, effed me over and then the car accident,0.25
7279,15fcc151c5,i want to cry,i want to cry,negative, cry,0.25
7305,4492448111, yeah I didn`t realize how bad it all was till now,e how bad it all was,negative, bad,0.16666666666666666
7306,d1c5320224, Aww  Yeah I feel you. I know its hard.,. I know its hard,negative, hard.,0.0
7309,a5d6a317fe, i really am going to miss you,miss you,negative, i really am going to miss,0.14285714285714285
7318,0d7319d9b3, yep  which sucks because i thought somewhere it said it was..,yep  which sucks because i thought somewhere it said it was..,negative, sucks,0.1
7334,73b8f76cb4,This already feels like one of those days where I just won`t be able to win.,won`t be able to win.,negative, this already feels like one of those days where i just won`t be able to win.,0.3125
7344,04e3c05abb, dammm..i thought i was on to something  lollllll,dammm.,negative, dammm..i thought i was on to something lollllll,0.0
7345,de06f9c2f3," No, it`s annoying and makes us girls that follow sports and are knowledgable look dumb","No, it`s annoying and makes us girls that follow sports and are knowledgable look dumb",negative, annoying,0.07142857142857142
7351,8681be6bf3,"this laptop is going to die, its not working!","this laptop is going to die,",negative," die,",0.16666666666666666
7360,a0184e265f,Roscoe - Smooth Sailin` WHY DID NO ONE TELL ME ABOUT THIS SONG?????? RAP FRIENDS U HAVE FAILED ME,WHY DID NO ONE TELL ME ABOUT THIS SONG?????? RAP FRIENDS U HAVE FAILED ME,negative, failed me,0.14285714285714285
7362,fa9d4aeaf8,I`m at home recovering from major liver surgery.  In alot of pain.,In alot of pain.,negative, pain.,0.25
7367,f7c9bf6238,Home. Don`t think i`ll wake up at 5. :-p I had set an alarm for 6 in the kids` room & forgot to turn it off. I feel bad about that.,forgot to turn it off. I feel bad about that.,negative, i feel bad,0.3
7376,7be463b6f5,getting bored of walking up and down the stairs,getting bored of walking up and down the stairs,negative, bored,0.1111111111111111
7385,0abea516e5," I`m running out of things to say, and I`m starting to think you`ll hate me for flooding your inbox with 'Philippines tour?'",hate,negative, i`m starting to think you`ll hate,0.16666666666666666
7386,5dac77c4b2,"is on allegra, flonase and a steroid inhaler for the rest of the allergy season. throat still hurts from the asthma",throat still hurts from the asthma,negative, hurts,0.16666666666666666
7395,84ac9ac2a8,Why the **** can`t I be over this ??? I feel like crying bit I realy don`t want to  why is this bothering me sooooooo much !?,I feel like crying bit I realy don`t want to  why is this bothering me sooooooo much !?,negative, ****,0.0
7408,c0b0c01f67, lucky! been beggin for jury duty for years...they dont ever send me notices! just notices for other people to my address!,..they dont ever send me notices! just notices for other people to my address!,negative, lucky!,0.0
7415,5d9c5b7ffe,producing the 6 with  then anchoring... and a sad goodbye to Miss Lynne Ashminov  we will miss you!,a sad goodbye to Miss Lynne Ashminov  we will miss you!,negative, sad,0.1
7426,b3aa4e4195," big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot","its hard cuz Im workin so much, I miss out on alot",negative, its hard,0.16666666666666666
7437,aca672028f,"hates the everything about  seafood.. just so happened to serve lobster in the chow hall... noooowww, I gotta headache.. ugh! smh...","hates the everything about  seafood.. just so happened to serve lobster in the chow hall... noooowww, I gotta headache.. ugh! smh...",negative, hates,0.05
7441,0f6aa44918, my kid is sick too tho..i can`t do it by myself.  i can`t go there by myself like a crazy stalker,my kid is sick too,negative, sick,0.2
7470,ece19db61c,"i`m thinking that tonight`s plans are not gonna happen. sigh...sadface. i shouldn`t be surprised, but i am.",sigh...sadface.,negative,sadface.,0.0
7479,a82705a699," Oh ok,Thanks.Dont know where the courthouse id either,I`ll learn though.Any nkotb? Twitter stole my pic again  it hates me",t hates,negative, hates me,0.3333333333333333
7501,2d879e0fa4,Warren and Hannah are dead ... oh my godd!! Seriousslyyy this is a tragidy !,tragidy,negative, dead ... oh my godd!! seriousslyyy this is a tragidy,0.1
7505,d7f2a33524,ive burned like a ginger kid in the sun. now my arms are red,ive burned like a ginger kid in the sun. now my arms are red,negative, burned,0.07142857142857142
7506,8854c0c135, soooo over ppl telling me they went to the tonite show!!!  Ive had dreams of meeting him  I`m embarrassd of that a lil LOL,`m embarrass,negative, i`m embarrassd,0.0
7512,b35d21e894,"absolutely boiling! Got factor 50+ on! Must not turn orange, must not look like oompa lumpa... My left shoulder is burnt from yesterday",My left shoulder is burnt from yesterday,negative, burnt,0.14285714285714285
7513,8375f8713a, HIII!!!!  i`ve missed you  just bored....what about u?,i`ve missed you  just bore,negative, missed,0.2
7517,7c7e99a187,_x ah that`s annoying,_x ah that`s annoying,negative, annoying,0.25
7524,0d232a6ef4,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,expired.,negative, i am too careless,0.0
7525,c6c2ba723b,My tummy hurts  go away cramps! I hate chuu!!!!,hurts,negative, my tummy hurts,0.3333333333333333
7582,cea3ea124a, i have no phone  whatchu doing tonight sucka. no dane cook she sold the tickets. lamee.,. lamee.,negative, sucka.,0.0
7584,747d1af3d6,is allergic to you...Oh NO!,is allergic to you...Oh NO!,negative, allergic,0.2
7586,a6ef1a8e11,I am so bored,bored,negative, i am so bored,0.25
7589,5f01174cd5,Soooo full that im starting to feel sick,Soooo full that im starting to feel sick,negative, sick,0.125
7590,306b28de61,"Again, I`m stuck in traffic jams ... Somewhat starting to be the same situation every day. That`s sad, really","That`s sad,",negative," stuck in traffic jams ... somewhat starting to be the same situation every day. that`s sad, really",0.11764705882352941
7595,9986499587,Thinks she`s getting sick.....,Thinks she`s getting sick.....,negative, sick.....,0.25
7602,ff1e521d5f,flipping out on my hairloss....gotta go to the doc.,hairloss..,negative, flipping,0.0
7606,a60c4c4c6c,Checkin out oramarecords.com. Got a fever and cnt sleep,Got a fever and cnt sleep,negative, fever,0.16666666666666666
7619,4301477f1f,Can today go any slower? Time is just dragging by.,Time is just dragging by.,negative, dragging,0.2
7621,39ca6c87a2," Hey sorry this is late, I leave in 30 min  raincheck...tomorrow?","sorry this is late,",negative, sorry,0.25
7627,b7f3d99ef5, u feeling urself so much u cant say hi???  me no likey u,u feeling urself so much u cant say hi???  me no likey,negative, me no likey u,0.36363636363636365
7632,6531e60a4b,is sad that shin ae got married...and it wasn`t to alex,is sad th,negative, sad,0.3333333333333333
7635,0d1cb8107f,mom is ok so far. just missing jaron,just missing jar,negative, missing jaron,0.25
7642,84f7577f9c, You have arthritis in them?  Really??  Poor you  That would be painful - but you can`t be that old.  How many squats did u do,be painf,negative, poor you that would be painful,0.14285714285714285
7654,a7c34b06f5,"I also want it to be the 6th, i miss my girlies so much   WE GET TO BE ROOMIES AGAIN!","I also want it to be the 6th, i miss my girlies so much   WE GET TO BE ROOMIES AGAIN!",negative, i miss,0.11764705882352941
7662,e11a468393," get better omg i still dont believe that i didn`tgot a picture with you  it`s soo sad, i don`t now when i`m gonna see u again",s soo sad,negative," sad,",0.0
7663,3fd1057ee4, OMG....that is soooo sad.,.that is soooo sad.,negative, sad.,0.25
7666,5ac2914d8e, they got attacked by the club,they got attacked,negative, attacked,0.3333333333333333
7677,e6da2d1835,New issue of  in the office...desperately want to flick through but have so much to do. It`ll have to wait,New issue of  in the office...desperately want to flick through but have so much to do. It`ll have to wait,negative,desperately,0.0
7682,38b6a0f71b, i can so sympathise with that,sympathise,negative, i can so sympathise,0.25
7689,562a5e5e73,i`m at work starving,i`m at work starving,negative, starving,0.25
7719,2ef17bd974,sorry dunners just saw your tweet! totally let you down im so sorry babe  was at work till 8.30 very boooooo,boooooo,negative, sorry,0.0
7724,a7dae620f0,This headache is killing me yet I need to cover some boring police event.,boring,negative, killing,0.0
7731,2abcd3c957,Ugh. Too much happened today. I really need a hug,Ugh. Too much happened today. I really need a hug,negative, ugh.,0.1
7743,8e0a44102c," Not true, you can get worse burns today... don`t forget sunscreen",forget,negative, worse,0.0
7752,b6bc089bb2,"Just had my teeth checked, now my eyes. I`m dying for a coffee but can`t drink for an hour.",can`t drink fo,negative, i`m dying,0.0
7759,67f825d150," hey kellie,how are u?I FEEL HORRIBLE!","hey kellie,how are u?I FEEL HORRIBLE!",negative,i feel horrible!,0.2857142857142857
7767,55f011fcb2,Missing brandon. Wanting to talk to anthony. Sadshoes,Missing,negative, sadshoes,0.0
7769,972c0874b2,"  Oh no matey, did you get ill?  It would be a bit mean of Suzi to be calling you chicken scabs if you`re not!",it mea,negative, it would be a bit mean,0.14285714285714285
7770,28c9dc4cc4,Exhausted after a 58 hour work week,Exhausted after a 58 hour work week,negative, exhausted,0.14285714285714285
7774,35f7411ccf,  Beer is an excellent excuse. Earlier i was sweating god knows how much! Not looking forward to working tomorrow,Beer is an excellent excuse. Earlier i was sweating god knows how much! Not looking forward to working tomorrow,negative, not looking forward to working tomorrow,0.3157894736842105
7785,b8d2f3cbfb, Think of the prize at the end. So sorry to hear that though.,So sorry to hear that though.,negative, so sorry,0.3333333333333333
7798,54435708a0,I was sleeping soo good but just woke up like 10 mins ago n got sick  not feeling so great. I wanna go back to sleep but I`m wide awake.,got sick  not feeling so great.,negative, sick,0.16666666666666666
7810,1f29eb7a49,i can`t seem to access Restuarant City due to some internet / javascript problem...,i can`t seem to access,negative, problem...,0.0
7813,38ae26b088,just woke up day off and need to go in to work that sucks. Also have to go dentist for filling at 12 then st helens for mri scan at 2,go in to work that sucks.,negative, sucks.,0.16666666666666666
7824,30cba3045d,I plead temporary insanity for agreeing to a metric century cycling event tomorrow.,insanity,negative, i plead temporary insanity,0.25
7827,8defc498d5,missin my bro..,missin,negative, missin my bro..,0.3333333333333333
7829,d611e1de10, that makes me sad...,that makes me sad...,negative, sad...,0.25
7831,9ec69eac00,My mouth hurts from this stupid retainer!!,My mouth hurts fr,negative, hurts,0.25
7832,62ac825994, I`m sorry about your bad driving experiences.,bad,negative, i`m sorry,0.0
7843,231d9f4985,Still gutted that man utd lost,Still gutted that man utd lost,negative, gutted,0.16666666666666666
7854,8382aa3916,is it weird that i really want a harry potter bed spread and pillows???? i wish i could find one that wasn`t gryffindor,i wish i could find one that wasn`t gryffindor,negative, weird,0.0
7857,8fdb246b51,_longman yes i am.  but she didn`t follow me,yes i am.  but she didn`t follow me,negative, didn`t follow me,0.375
7859,ae19d98db6,:: holy kraut. I canNOT stay up this late. But the book is done and in the author`s in box.  Tucking in with kitty-boys now. Nighty-night.,canNOT,negative, holy kraut. i cannot stay up this late.,0.125
7860,c06e5c4fac," Ok that`s not true! Plus, you`re insulting me saying that I`m insulting you! I`ve been trying to cheer you up. Butï¿½nadaï¿½","Ok that`s not true! Plus, you`re insulting me saying that I`m insulting you! I`ve been trying to cheer you up.",negative, insulting,0.05263157894736842
7874,45399ec130,Ouch just burned myself making soup for nico...,Ouch just burned myself making soup for nico...,negative, burned,0.125
7902,26316a2cd9, Damnit. Sorry to hear dude,Damnit.,negative, sorry,0.0
7910,dc08cdbdad,officially misses Quark.  huhuhu! i had no heart hand partner and no one to dance with tonight! come home so... http://plurk.com/p/x2k1z,no one to dance with tonight!,negative, misses,0.0
7930,93a9346111,I believe a man died in a car wreck today just right down the road.  It happened at 12 and at 2 he was still in the car.,I believe a man died in a car wreck today just right down the road.  It happened at 12 and at 2 he was still in the car.,negative, died in a car wreck,0.20833333333333334
7935,99a0e261c6,off to pick up my daughters who appear to be picking up an unhealthy liking for primark...feel like a bad parent,bad parent,negative, unhealthy liking for primark...feel like a bad parent,0.25
7945,b804b59377, that is sickening... Just shoot at will? Smh... Prayers for his family...,that is sickening.,negative, sickening...,0.0
